actual,proposed
0.30000463128089905,0.20000000298023224
0.3015044629573822,0.20000000298023224
0.30300432443618774,0.20000000298023224
0.3045041859149933,0.20000000298023224
0.30600404739379883,0.20000000298023224
0.30750390887260437,0.20000000298023224
0.3090038001537323,0.20000000298023224
0.15238399803638458,0.19854938983917236
0.15276455879211426,0.19735626876354218
0.15529286861419678,0.19618546962738037
0.15776026248931885,0.19502411782741547
0.1601690798997879,0.1938740760087967
0.15519747138023376,0.19269058108329773
0.1531791090965271,0.19147437810897827
0.1467219442129135,0.19025947153568268
0.13588865101337433,0.18898425996303558
0.12945690751075745,0.18769265711307526
0.11864502727985382,0.18634247779846191
0.10351292043924332,0.1849106103181839
0.0841178223490715,0.18336482346057892
0.06923216581344604,0.1817396730184555
0.05006934329867363,0.18000581860542297
0.026684356853365898,0.17813119292259216
0.003488851711153984,0.17615248262882233
0.0,0.17401790618896484
0.0,0.17174836993217468
0.0,0.16929253935813904
0.0,0.16665112972259521
0.0,0.16386665403842926
0.0,0.1609378457069397
0.0,0.15787184238433838
0.0,0.1546710729598999
0.0,0.15137258172035217
0.0,0.14794425666332245
0.0,0.14438778162002563
0.0,0.14077474176883698
0.0,0.13707129657268524
0.0,0.13328219950199127
0.0,0.12944035232067108
0.0,0.1255125105381012
0.0,0.12153425812721252
0.0,0.1175379753112793
0.0,0.11349237710237503
0.0,0.109429270029068
0.0,0.10537952929735184
0.0,0.10131002217531204
0.0,0.09725428372621536
0.0,0.09320970624685287
0.0,0.08917409181594849
0.0,0.0851471796631813
0.0,0.08116132020950317
0.0,0.07727817445993423
0.0,0.07352269440889359
0.0,0.06992633640766144
0.0,0.06644956022500992
0.0,0.06308726966381073
0.0,0.05983544513583183
0.0,0.0566905178129673
0.0,0.05367908626794815
0.0,0.05076504498720169
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.1291709691286087
0.0,0.12793417274951935
0.0,0.12688270211219788
0.00997406430542469,0.12597711384296417
0.022319070994853973,0.1251814365386963
0.043141577392816544,0.12455512583255768
0.05925390496850014,0.12406285852193832
0.075090691447258,0.1236962229013443
0.09938178211450577,0.12351623177528381
0.11894083023071289,0.12348783761262894
0.1294858455657959,0.12353891134262085
0.15294551849365234,0.12376543879508972
0.1629919409751892,0.12406463921070099
0.17725719511508942,0.12446340173482895
0.19132819771766663,0.12495706975460052
0.20085477828979492,0.12551812827587128
0.20590564608573914,0.12610559165477753
0.2109055519104004,0.12672342360019684
0.22021591663360596,0.12740127742290497
0.2207016497850418,0.1280687153339386
0.22556547820568085,0.1287616640329361
0.2260282337665558,0.1294490247964859
0.22215233743190765,0.13009566068649292
0.21835651993751526,0.13070501387119293
0.20591920614242554,0.13121306896209717
0.20239366590976715,0.13168606162071228
0.1858556866645813,0.13202998042106628
0.17391927540302277,0.13228070735931396
0.1577950268983841,0.132409930229187
0.13753558695316315,0.13238757848739624
0.11754992604255676,0.132219135761261
0.09782540798187256,0.13190948963165283
0.07399089634418488,0.1314304918050766
0.04609508067369461,0.130754292011261
0.018543172627687454,0.1298881471157074
3.7017241993453354e-05,0.12890225648880005
0.0,0.12758709490299225
0.0,0.12601087987422943
0.0,0.12418710440397263
0.0,0.12214464694261551
0.0,0.1200161799788475
0.0,0.11754907667636871
0.0,0.11491071432828903
0.0,0.11207877099514008
0.0,0.10905543714761734
0.0,0.10597509890794754
0.0,0.10258322209119797
0.0,0.0990152508020401
0.0,0.09530987590551376
0.0,0.09147047996520996
0.0,0.08753284066915512
0.0,0.08349896222352982
0.0,0.07937107980251312
0.0,0.0752805843949318
0.0,0.07128975540399551
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.12618020176887512
0.0,0.12384241819381714
0.0,0.12165667861700058
0.0,0.11962304264307022
0.0,0.11771516501903534
0.0,0.11595091223716736
0.0,0.11431586742401123
0.0,0.11284031718969345
0.0,0.11151662468910217
0.0,0.11034084856510162
0.0,0.10930710285902023
0.0,0.10841161012649536
0.0,0.10761651396751404
0.0,0.1068863794207573
0.0,0.1062510535120964
0.0,0.10570758581161499
0.0,0.10525299608707428
0.004526791628450155,0.10488481819629669
0.014730039983987808,0.10460034012794495
0.024763567373156548,0.10439331829547882
0.030275912955403328,0.10423071682453156
0.031334370374679565,0.10408132523298264
0.036721475422382355,0.10397467762231827
0.037659935653209686,0.10387758910655975
0.03857304900884628,0.10378990322351456
0.04817967116832733,0.1037788987159729
0.05328323692083359,0.10379935801029205
0.06266822665929794,0.10389801859855652
0.05884190648794174,0.10395723581314087
0.050709523260593414,0.10396046936511993
0.03832881897687912,0.10387296974658966
0.030473140999674797,0.10372911393642426
0.027074240148067474,0.10356324911117554
0.019349420443177223,0.10334417223930359
0.01607506535947323,0.1031055748462677
0.012827565893530846,0.10284725576639175
0.013964492827653885,0.10260216146707535
0.006347143556922674,0.10230598598718643
0.0031744157895445824,0.10199233889579773
2.2924399672774598e-05,0.10166120529174805
0.0,0.10131397098302841
0.0,0.10091741383075714
0.0,0.10050654411315918
0.0,0.1000489592552185
0.0,0.099577896296978
0.24316257238388062,0.20000000298023224
0.24158048629760742,0.20000000298023224
0.240006223320961,0.19960765540599823
0.238438680768013,0.19976210594177246
0.2412363886833191,0.1999334692955017
0.23962022364139557,0.20000000298023224
0.23801171779632568,0.19945791363716125
0.23641033470630646,0.1996079534292221
0.23481501638889313,0.19972194731235504
0.2332252711057663,0.19983604550361633
0.23164063692092896,0.19993676245212555
0.22570110857486725,0.19999738037586212
0.21546685695648193,0.19998052716255188
0.2053537666797638,0.19989554584026337
0.19535592198371887,0.19973386824131012
0.18110856413841248,0.19947870075702667
0.16702581942081451,0.19912110269069672
0.15309925377368927,0.1986744999885559
0.13932135701179504,0.19813133776187897
0.12132584303617477,0.19747060537338257
0.10352461785078049,0.19668948650360107
0.08154941350221634,0.1957629770040512
0.06416923552751541,0.19472642242908478
0.03823497146368027,0.19352169334888458
0.012577012181282043,0.19214695692062378
0.0,0.19058412313461304
0.0,0.18885578215122223
0.0,0.1869533807039261
0.0,0.18487420678138733
0.0,0.1825813502073288
0.0,0.180092453956604
0.0,0.1774446964263916
0.0,0.17467203736305237
0.0,0.17171335220336914
0.0,0.16857489943504333
0.0,0.1652926653623581
0.0,0.16193659603595734
0.0,0.15850917994976044
0.0,0.15497364103794098
0.0,0.15133917331695557
0.0,0.14760488271713257
0.0,0.14377433061599731
0.0,0.1399136334657669
0.0,0.13599084317684174
0.0,0.13203947246074677
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.1971452683210373
0.0,0.19456298649311066
0.0,0.19207949936389923
0.0,0.18972745537757874
0.0,0.18754057586193085
0.0,0.18545958399772644
0.0,0.18346689641475677
0.0,0.18152303993701935
0.0,0.17965926229953766
0.0,0.17786754667758942
0.0,0.1761160045862198
0.0,0.1744350641965866
0.0,0.1727902889251709
0.0,0.17114683985710144
0.0,0.16950435936450958
0.0,0.16786496341228485
0.0,0.1662832349538803
0.0,0.16473639011383057
0.0,0.16321566700935364
0.0,0.16169169545173645
0.0,0.16012969613075256
0.09990354627370834,0.20000000298023224
0.0964675024151802,0.20000000298023224
0.10171008110046387,0.20000000298023224
0.10679329186677933,0.20000000298023224
0.1073642298579216,0.20000000298023224
0.11220724880695343,0.20000000298023224
0.11254680156707764,0.20000000298023224
0.1171669065952301,0.20000000298023224
0.1172918826341629,0.20000000298023224
